Name;Status;Tenant;Site;Location;Rack;Role;Manufacturer;Type;IP Address;ID;Tenant Group;Platform;Serial number;Asset tag;Region;Site Group;Parent Device;Position (Device Bay);Position;Rack face;Latitude;Longitude;Airflow;IPv4 Address;IPv6 Address;OOB IP;Cluster;Virtual Chassis;VC Position;VC Priority;Description;Config Template;Comments;Contacts;Tags;Created;Last updated;Console ports;Console server ports;Power ports;Power outlets;Interfaces;Front ports;Rear ports;Device bays;Module bays;Inventory items
CHR1;Active;;Site;;;Router;MicroTik;CHR;172.27.224.25;1;;;aNWs09zhe65;;;;;;;;;;;;;;;;;;;;;;;03.12.2023 1:11;03.12.2023 3:13;0;0;0;0;0;0;0;0;0;0
CHR2;Active;;Site;;;Router;MicroTik;CHR;172.27.224.24;2;;;hXqd82Nkw4Y;;;;;;;;;;;;;;;;;;;;;;;03.12.2023 1:12;03.12.2023 1:45;0;0;0;0;0;0;0;0;0;0
